USPS,subpop,population,age_group,prop,pop_agestrata,vaccination_stage,variant_type,age_strata
AK,02000,737068,0_4,0.0698069806980698,51452.49164916491,unvaccinated,AllFlu,age0to4
AK,02000,737068,18_49,0.4426442644264426,326258.9226922692,unvaccinated,AllFlu,age18to49
AK,02000,737068,50_64,0.1861186118611861,137182.07300730073,unvaccinated,AllFlu,age50to64
AK,02000,737068,5_17,0.1762176217621762,129884.37003700368,unvaccinated,AllFlu,age5to17
AK,02000,737068,65_100,0.12521252125212523,92290.14261426144,unvaccinated,AllFlu,age65to100
AL,01000,4876250,0_4,0.060006000600060005,292604.2604260426,unvaccinated,AllFlu,age0to4
AL,01000,4876250,18_49,0.40784078407840785,1988733.6233623363,unvaccinated,AllFlu,age18to49
AL,01000,4876250,50_64,0.1969196919691969,960229.6479647964,unvaccinated,AllFlu,age50to64
AL,01000,4876250,5_17,0.1619161916191619,789543.8293829382,unvaccinated,AllFlu,age5to17
AL,01000,4876250,65_100,0.17331733173317332,845138.6388638864,unvaccinated,AllFlu,age65to100
AR,05000,2999370,0_4,0.062493750624937505,187441.88081191882,unvaccinated,AllFlu,age0to4
AR,05000,2999370,18_49,0.40705929407059294,1220921.4348565144,unvaccinated,AllFlu,age18to49
AR,05000,2999370,50_64,0.1872812718728127,561725.8284171582,unvaccinated,AllFlu,age50to64
AR,05000,2999370,5_17,0.1695830416958304,508642.2877712229,unvaccinated,AllFlu,age5to17
AR,05000,2999370,65_100,0.17358264173582644,520638.56814318575,unvaccinated,AllFlu,age65to100
AZ,04000,7050299,0_4,0.059005900590059,416009.2419241924,unvaccinated,AllFlu,age0to4
AZ,04000,7050299,18_49,0.41634163416341635,2935333.0070007,unvaccinated,AllFlu,age18to49
AZ,04000,7050299,50_64,0.1785178517851785,1258604.2319231923,unvaccinated,AllFlu,age50to64
AZ,04000,7050299,5_17,0.16631663166316632,1172581.9818981898,unvaccinated,AllFlu,age5to17
AZ,04000,7050299,65_100,0.17981798179817982,1267770.5372537253,unvaccinated,AllFlu,age65to100
CA,06000,39283497,0_4,0.0603,2368794.8691,unvaccinated,AllFlu,age0to4
CA,06000,39283497,18_49,0.4436,17426159.2692,unvaccinated,AllFlu,age18to49
CA,06000,39283497,50_64,0.1835,7208521.6995,unvaccinated,AllFlu,age50to64
CA,06000,39283497,5_17,0.1648,6473920.305600001,unvaccinated,AllFlu,age5to17
CA,06000,39283497,65_100,0.1478,5806100.8566,unvaccinated,AllFlu,age65to100
CO,08000,5610349,0_4,0.0577,323717.1373,unvaccinated,AllFlu,age0to4
CO,08000,5610349,18_49,0.452,2535877.748,unvaccinated,AllFlu,age18to49
CO,08000,5610349,50_64,0.183,1026693.867,unvaccinated,AllFlu,age50to64
CO,08000,5610349,5_17,0.161,903266.189,unvaccinated,AllFlu,age5to17
CO,08000,5610349,65_100,0.1463,820794.0587,unvaccinated,AllFlu,age65to100
CT,09000,3575074,0_4,0.050994900509949,182310.5429457054,unvaccinated,AllFlu,age0to4
CT,09000,3575074,18_49,0.4046595340465953,1446687.7790220978,unvaccinated,AllFlu,age18to49
CT,09000,3575074,50_64,0.21447855214478553,766776.695330467,unvaccinated,AllFlu,age50to64
CT,09000,3575074,5_17,0.15308469153084694,547289.1004899511,unvaccinated,AllFlu,age5to17
CT,09000,3575074,65_100,0.17678232176782324,632009.8822117789,unvaccinated,AllFlu,age65to100
DC,11000,692683,0_4,0.0642935706429357,44535.06339366063,unvaccinated,AllFlu,age0to4
DC,11000,692683,18_49,0.5448455154484552,377405.2261773823,unvaccinated,AllFlu,age18to49
DC,11000,692683,50_64,0.1497850214978502,103753.53804619536,unvaccinated,AllFlu,age50to64
DC,11000,692683,5_17,0.11728827117288271,81243.59154084591,unvaccinated,AllFlu,age5to17
DC,11000,692683,65_100,0.1237876212378762,85745.5808419158,unvaccinated,AllFlu,age65to100
DE,10000,957248,0_4,0.0562,53797.3376,unvaccinated,AllFlu,age0to4
DE,10000,957248,18_49,0.3916,374858.31680000003,unvaccinated,AllFlu,age18to49
DE,10000,957248,50_64,0.2053,196523.01440000001,unvaccinated,AllFlu,age50to64
DE,10000,957248,5_17,0.1529,146363.21920000002,unvaccinated,AllFlu,age5to17
DE,10000,957248,65_100,0.194,185706.112,unvaccinated,AllFlu,age65to100
FL,12000,20901636,0_4,0.053094690530946904,1109765.8950104988,unvaccinated,AllFlu,age0to4
FL,12000,20901636,18_49,0.3949605039496051,8255320.687931208,unvaccinated,AllFlu,age18to49
FL,12000,20901636,50_64,0.19868013198680132,4152739.799220078,unvaccinated,AllFlu,age50to64
FL,12000,20901636,5_17,0.14388561143885611,3007444.675932407,unvaccinated,AllFlu,age5to17
FL,12000,20901636,65_100,0.20937906209379062,4376364.94190581,unvaccinated,AllFlu,age65to100
GA,13000,10403847,0_4,0.0618,642957.7446,unvaccinated,AllFlu,age0to4
GA,13000,10403847,18_49,0.4334,4509027.2898,unvaccinated,AllFlu,age18to49
GA,13000,10403847,50_64,0.1879,1954882.8513000002,unvaccinated,AllFlu,age50to64
GA,13000,10403847,5_17,0.174,1810269.3779999998,unvaccinated,AllFlu,age5to17
GA,13000,10403847,65_100,0.1429,1486709.7363,unvaccinated,AllFlu,age65to100
HI,15000,1422094,0_4,0.0602,85610.0588,unvaccinated,AllFlu,age0to4
HI,15000,1422094,18_49,0.413,587324.8219999999,unvaccinated,AllFlu,age18to49
HI,15000,1422094,50_64,0.1856,263940.64639999997,unvaccinated,AllFlu,age50to64
HI,15000,1422094,5_17,0.1516,215589.45040000003,unvaccinated,AllFlu,age5to17
HI,15000,1422094,65_100,0.1896,269629.02239999996,unvaccinated,AllFlu,age65to100
IA,19000,3139508,0_4,0.061993800619938005,194630.03299670032,unvaccinated,AllFlu,age0to4
IA,19000,3139508,18_49,0.40415958404159585,1268862.2473752624,unvaccinated,AllFlu,age18to49
IA,19000,3139508,50_64,0.19018098190180982,597074.7141285872,unvaccinated,AllFlu,age50to64
IA,19000,3139508,5_17,0.1683831616838316,528640.2831716829,unvaccinated,AllFlu,age5to17
IA,19000,3139508,65_100,0.17528247175282474,550300.7223277673,unvaccinated,AllFlu,age65to100
ID,16000,1717750,0_4,0.064993500649935,111642.58574142585,unvaccinated,AllFlu,age0to4
ID,16000,1717750,18_49,0.408959104089591,702489.501049895,unvaccinated,AllFlu,age18to49
ID,16000,1717750,50_64,0.17758224177582244,305041.895810419,unvaccinated,AllFlu,age50to64
ID,16000,1717750,5_17,0.1857814218578142,319126.03739626036,unvaccinated,AllFlu,age5to17
ID,16000,1717750,65_100,0.16268373162683733,279449.9800019998,unvaccinated,AllFlu,age65to100
IL,17000,12770631,0_4,0.05890589058905891,752265.392439244,unvaccinated,AllFlu,age0to4
IL,17000,12770631,18_49,0.42244224422442245,5394854.01980198,unvaccinated,AllFlu,age18to49
IL,17000,12770631,50_64,0.19401940194019401,2477750.189018902,unvaccinated,AllFlu,age50to64
IL,17000,12770631,5_17,0.1634163416341634,2086929.798379838,unvaccinated,AllFlu,age5to17
IL,17000,12770631,65_100,0.16121612161216123,2058831.6003600361,unvaccinated,AllFlu,age65to100
IN,18000,6665703,0_4,0.0621,413940.15630000003,unvaccinated,AllFlu,age0to4
IN,18000,6665703,18_49,0.4149,2765600.1747,unvaccinated,AllFlu,age18to49
IN,18000,6665703,50_64,0.1909,1272482.7027,unvaccinated,AllFlu,age50to64
IN,18000,6665703,5_17,0.1708,1138502.0724,unvaccinated,AllFlu,age5to17
IN,18000,6665703,65_100,0.1613,1075177.8939,unvaccinated,AllFlu,age65to100
KS,20000,2910652,0_4,0.0636063606360636,185135.9807980798,unvaccinated,AllFlu,age0to4
KS,20000,2910652,18_49,0.41264126412641267,1201055.1207120712,unvaccinated,AllFlu,age18to49
KS,20000,2910652,50_64,0.1838183818381838,535031.3407340733,unvaccinated,AllFlu,age50to64
KS,20000,2910652,5_17,0.1767176717671767,514363.6447644764,unvaccinated,AllFlu,age5to17
KS,20000,2910652,65_100,0.16321632163216324,475065.9129912992,unvaccinated,AllFlu,age65to100
KY,21000,4449052,0_4,0.060993900609939006,271365.0354964504,unvaccinated,AllFlu,age0to4
KY,21000,4449052,18_49,0.41025897410258977,1825263.5092490753,unvaccinated,AllFlu,age18to49
KY,21000,4449052,50_64,0.19728027197280273,877710.188581142,unvaccinated,AllFlu,age50to64
KY,21000,4449052,5_17,0.16348365163483652,727347.2672732727,unvaccinated,AllFlu,age5to17
KY,21000,4449052,65_100,0.16798320167983202,747365.99940006,unvaccinated,AllFlu,age65to100
LA,22000,4664362,0_4,0.0648,302250.6576,unvaccinated,AllFlu,age0to4
LA,22000,4664362,18_49,0.4166,1943173.2092000002,unvaccinated,AllFlu,age18to49
LA,22000,4664362,50_64,0.1901,886695.2161999999,unvaccinated,AllFlu,age50to64
LA,22000,4664362,5_17,0.1691,788743.6142,unvaccinated,AllFlu,age5to17
LA,22000,4664362,65_100,0.1594,743499.3028,unvaccinated,AllFlu,age65to100
MA,25000,6850553,0_4,0.0518051805180518,354894.1348134813,unvaccinated,AllFlu,age0to4
MA,25000,6850553,18_49,0.4298429842984299,2944662.1456145616,unvaccinated,AllFlu,age18to49
MA,25000,6850553,50_64,0.2042204220422042,1399022.824882488,unvaccinated,AllFlu,age50to64
MA,25000,6850553,5_17,0.14441444144414442,989318.7850785078,unvaccinated,AllFlu,age5to17
MA,25000,6850553,65_100,0.1697169716971697,1162655.109610961,unvaccinated,AllFlu,age65to100
MD,24000,6018848,0_4,0.05989401059894011,360492.94590540946,unvaccinated,AllFlu,age0to4
MD,24000,6018848,18_49,0.4173582641735826,2512015.9536046395,unvaccinated,AllFlu,age18to49
MD,24000,6018848,50_64,0.20317968203179682,1222907.6228377162,unvaccinated,AllFlu,age50to64
MD,24000,6018848,5_17,0.1608839116088391,968335.809619038,unvaccinated,AllFlu,age5to17
MD,24000,6018848,65_100,0.15868413158684133,955095.6680331968,unvaccinated,AllFlu,age65to100
ME,23000,1335492,0_4,0.047295270472952705,63162.45535446455,unvaccinated,AllFlu,age0to4
ME,23000,1335492,18_49,0.3772622737726228,503830.74852514756,unvaccinated,AllFlu,age18to49
ME,23000,1335492,50_64,0.2253774622537746,300989.79782021797,unvaccinated,AllFlu,age50to64
ME,23000,1335492,5_17,0.13788621137886212,184145.93220677934,unvaccinated,AllFlu,age5to17
ME,23000,1335492,65_100,0.2121787821217878,283363.06609339063,unvaccinated,AllFlu,age65to100
MI,26000,9965265,0_4,0.0567,565030.5255,unvaccinated,AllFlu,age0to4
MI,26000,9965265,18_49,0.4041,4026963.5865,unvaccinated,AllFlu,age18to49
MI,26000,9965265,50_64,0.2044,2036900.166,unvaccinated,AllFlu,age50to64
MI,26000,9965265,5_17,0.158,1574511.87,unvaccinated,AllFlu,age5to17
MI,26000,9965265,65_100,0.1768,1761858.8520000002,unvaccinated,AllFlu,age65to100
MN,27000,5563378,0_4,0.06230623062306231,346633.11271127115,unvaccinated,AllFlu,age0to4
MN,27000,5563378,18_49,0.41054105410541053,2283995.0685068504,unvaccinated,AllFlu,age18to49
MN,27000,5563378,50_64,0.19521952195219522,1086079.9935993599,unvaccinated,AllFlu,age50to64
MN,27000,5563378,5_17,0.1687168716871687,938635.7321732172,unvaccinated,AllFlu,age5to17
MN,27000,5563378,65_100,0.16321632163216324,908034.093009301,unvaccinated,AllFlu,age65to100
MO,29000,6104910,0_4,0.06,366294.6,unvaccinated,AllFlu,age0to4
MO,29000,6104910,18_49,0.4081,2491413.771,unvaccinated,AllFlu,age18to49
MO,29000,6104910,50_64,0.1956,1194120.396,unvaccinated,AllFlu,age50to64
MO,29000,6104910,5_17,0.1633,996931.803,unvaccinated,AllFlu,age5to17
MO,29000,6104910,65_100,0.173,1056149.43,unvaccinated,AllFlu,age65to100
MS,28000,2984418,0_4,0.061606160616061605,183858.53465346535,unvaccinated,AllFlu,age0to4
MS,28000,2984418,18_49,0.41154115411541153,1228210.8280828083,unvaccinated,AllFlu,age18to49
MS,28000,2984418,50_64,0.19021902190219023,567693.0729072908,unvaccinated,AllFlu,age50to64
MS,28000,2984418,5_17,0.17311731173117312,516654.4212421242,unvaccinated,AllFlu,age5to17
MS,28000,2984418,65_100,0.1635163516351635,488001.1431143114,unvaccinated,AllFlu,age65to100
MT,30000,1050649,0_4,0.0572,60097.1228,unvaccinated,AllFlu,age0to4
MT,30000,1050649,18_49,0.397,417107.65300000005,unvaccinated,AllFlu,age18to49
MT,30000,1050649,50_64,0.1959,205822.1391,unvaccinated,AllFlu,age50to64
MT,30000,1050649,5_17,0.1567,164636.69830000002,unvaccinated,AllFlu,age5to17
MT,30000,1050649,65_100,0.1932,202985.3868,unvaccinated,AllFlu,age65to100
NC,37000,10264876,0_4,0.0581,596389.2956,unvaccinated,AllFlu,age0to4
NC,37000,10264876,18_49,0.4194,4305088.9944,unvaccinated,AllFlu,age18to49
NC,37000,10264876,50_64,0.1943,1994465.4068,unvaccinated,AllFlu,age50to64
NC,37000,10264876,5_17,0.1612,1654698.0112,unvaccinated,AllFlu,age5to17
NC,37000,10264876,65_100,0.167,1714234.2920000001,unvaccinated,AllFlu,age65to100
ND,38000,756717,0_4,0.071,53726.90699999999,unvaccinated,AllFlu,age0to4
ND,38000,756717,18_49,0.4313,326372.0421,unvaccinated,AllFlu,age18to49
ND,38000,756717,50_64,0.175,132425.475,unvaccinated,AllFlu,age50to64
ND,38000,756717,5_17,0.1654,125160.99179999999,unvaccinated,AllFlu,age5to17
ND,38000,756717,65_100,0.1573,119031.5841,unvaccinated,AllFlu,age65to100
NE,31000,1914571,0_4,0.067706770677067707,129629.4196419642,unvaccinated,AllFlu,age0to4
NE,31000,1914571,18_49,0.41174117411741173,788307.7114711471,unvaccinated,AllFlu,age18to49
NE,31000,1914571,50_64,0.18061806180618062,345806.10321032105,unvaccinated,AllFlu,age50to64
NE,31000,1914571,5_17,0.1784178417841784,341593.62576257624,unvaccinated,AllFlu,age5to17
NE,31000,1914571,65_100,0.16151615161516153,309234.13991399144,unvaccinated,AllFlu,age65to100
NH,33000,1348124,0_4,0.0468,63092.2032,unvaccinated,AllFlu,age0to4
NH,33000,1348124,18_49,0.3966,534665.9784,unvaccinated,AllFlu,age18to49
NH,33000,1348124,50_64,0.229,308720.396,unvaccinated,AllFlu,age50to64
NH,33000,1348124,5_17,0.1409,189950.6716,unvaccinated,AllFlu,age5to17
NH,33000,1348124,65_100,0.1867,251694.7508,unvaccinated,AllFlu,age65to100
NJ,34000,8878503,0_4,0.057905790579057904,514116.73537353735,unvaccinated,AllFlu,age0to4
NJ,34000,8878503,18_49,0.4085408540854085,3627231.1986198616,unvaccinated,AllFlu,age18to49
NJ,34000,8878503,50_64,0.20712071207120714,1838921.863486349,unvaccinated,AllFlu,age50to64
NJ,34000,8878503,5_17,0.16031603160316032,1423366.3675367536,unvaccinated,AllFlu,age5to17
NJ,34000,8878503,65_100,0.16611661166116612,1474866.8349834983,unvaccinated,AllFlu,age65to100
NM,35000,2092454,0_4,0.0577,120734.5958,unvaccinated,AllFlu,age0to4
NM,35000,2092454,18_49,0.4064,850373.3056,unvaccinated,AllFlu,age18to49
NM,35000,2092454,50_64,0.1866,390451.9164,unvaccinated,AllFlu,age50to64
NM,35000,2092454,5_17,0.1692,354043.2168,unvaccinated,AllFlu,age5to17
NM,35000,2092454,65_100,0.1801,376850.96540000004,unvaccinated,AllFlu,age65to100
NV,32000,2972382,0_4,0.0602060206020602,178955.2919291929,unvaccinated,AllFlu,age0to4
NV,32000,2972382,18_49,0.4266426642664266,1268144.9756975695,unvaccinated,AllFlu,age18to49
NV,32000,2972382,50_64,0.18751875187518752,557377.3627362737,unvaccinated,AllFlu,age50to64
NV,32000,2972382,5_17,0.1646164616461646,489303.00750075007,unvaccinated,AllFlu,age5to17
NV,32000,2972382,65_100,0.16101610161016103,478601.36213621363,unvaccinated,AllFlu,age65to100
NY,36000,19572319,0_4,0.05791158231646329,1133463.9628925784,unvaccinated,AllFlu,age0to4
NY,36000,19572319,18_49,0.42448489697939584,8308153.814362871,unvaccinated,AllFlu,age18to49
NY,36000,19572319,50_64,0.19903980796159232,3895670.6151230247,unvaccinated,AllFlu,age50to64
NY,36000,19572319,5_17,0.14912982596519306,2918816.526205241,unvaccinated,AllFlu,age5to17
NY,36000,19572319,65_100,0.16943388677735546,3316214.0814162833,unvaccinated,AllFlu,age65to100
OH,39000,11655397,0_4,0.0591,688833.9627,unvaccinated,AllFlu,age0to4
OH,39000,11655397,18_49,0.4043,4712277.0071,unvaccinated,AllFlu,age18to49
OH,39000,11655397,50_64,0.2001,2332244.9397,unvaccinated,AllFlu,age50to64
OH,39000,11655397,5_17,0.1614,1881181.0757999998,unvaccinated,AllFlu,age5to17
OH,39000,11655397,65_100,0.1751,2040860.0147000002,unvaccinated,AllFlu,age65to100
OK,40000,3932870,0_4,0.06459354064593541,254037.99820017998,unvaccinated,AllFlu,age0to4
OK,40000,3932870,18_49,0.4176582341765824,1642595.5394460554,unvaccinated,AllFlu,age18to49
OK,40000,3932870,50_64,0.18118188181181882,712564.7875212479,unvaccinated,AllFlu,age50to64
OK,40000,3932870,5_17,0.17608239176082394,692509.1560843916,unvaccinated,AllFlu,age5to17
OK,40000,3932870,65_100,0.16048395160483953,631162.5187481252,unvaccinated,AllFlu,age65to100
OR,41000,4129803,0_4,0.054005400540054004,223031.66516651664,unvaccinated,AllFlu,age0to4
OR,41000,4129803,18_49,0.42634263426342633,1760711.0900090009,unvaccinated,AllFlu,age18to49
OR,41000,4129803,50_64,0.1866186618661866,770698.309630963,unvaccinated,AllFlu,age50to64
OR,41000,4129803,5_17,0.15141514151415142,625314.7056705671,unvaccinated,AllFlu,age5to17
OR,41000,4129803,65_100,0.18161816181618162,750047.2295229523,unvaccinated,AllFlu,age65to100
PA,42000,12791530,0_4,0.05449455054494551,697068.6781321868,unvaccinated,AllFlu,age0to4
PA,42000,12791530,18_49,0.40135986401359863,5134006.741325867,unvaccinated,AllFlu,age18to49
PA,42000,12791530,50_64,0.20587941205879412,2633512.675732427,unvaccinated,AllFlu,age50to64
PA,42000,12791530,5_17,0.1512848715128487,1935164.9725027494,unvaccinated,AllFlu,age5to17
PA,42000,12791530,65_100,0.18698130186981302,2391776.9323067693,unvaccinated,AllFlu,age65to100
RI,44000,1057231,0_4,0.0514948505149485,54441.95230476952,unvaccinated,AllFlu,age0to4
RI,44000,1057231,18_49,0.421957804219578,446106.87131286866,unvaccinated,AllFlu,age18to49
RI,44000,1057231,50_64,0.20837916208379162,220304.9099090091,unvaccinated,AllFlu,age50to64
RI,44000,1057231,5_17,0.14158584141585842,149688.94070592942,unvaccinated,AllFlu,age5to17
RI,44000,1057231,65_100,0.17658234176582344,186688.3257674233,unvaccinated,AllFlu,age65to100
SC,45000,5020806,0_4,0.0568,285181.7808,unvaccinated,AllFlu,age0to4
SC,45000,5020806,18_49,0.4057,2036940.9942,unvaccinated,AllFlu,age18to49
SC,45000,5020806,50_64,0.1965,986588.3790000001,unvaccinated,AllFlu,age50to64
SC,45000,5020806,5_17,0.159,798308.154,unvaccinated,AllFlu,age5to17
SC,45000,5020806,65_100,0.182,913786.6919999999,unvaccinated,AllFlu,age65to100
SD,46000,870638,0_4,0.0691,60161.08579999999,unvaccinated,AllFlu,age0to4
SD,46000,870638,18_49,0.3956,344424.39280000003,unvaccinated,AllFlu,age18to49
SD,46000,870638,50_64,0.1873,163070.4974,unvaccinated,AllFlu,age50to64
SD,46000,870638,5_17,0.1763,153493.4794,unvaccinated,AllFlu,age5to17
SD,46000,870638,65_100,0.1717,149488.5446,unvaccinated,AllFlu,age65to100
TN,47000,6709356,0_4,0.0598,401219.4888,unvaccinated,AllFlu,age0to4
TN,47000,6709356,18_49,0.417,2797801.452,unvaccinated,AllFlu,age18to49
TN,47000,6709356,50_64,0.1945,1304969.742,unvaccinated,AllFlu,age50to64
TN,47000,6709356,5_17,0.1613,1082219.1228,unvaccinated,AllFlu,age5to17
TN,47000,6709356,65_100,0.1674,1123146.1944,unvaccinated,AllFlu,age65to100
TX,48000,28260856,0_4,0.0687,1941520.8072,unvaccinated,AllFlu,age0to4
TX,48000,28260856,18_49,0.4444,12559124.4064,unvaccinated,AllFlu,age18to49
TX,48000,28260856,50_64,0.1716,4849562.8896,unvaccinated,AllFlu,age50to64
TX,48000,28260856,5_17,0.1865,5270649.644,unvaccinated,AllFlu,age5to17
TX,48000,28260856,65_100,0.1288,3639998.2528,unvaccinated,AllFlu,age65to100
UT,49000,3096848,0_4,0.0773,239386.35039999997,unvaccinated,AllFlu,age0to4
UT,49000,3096848,18_49,0.4536,1404730.2528,unvaccinated,AllFlu,age18to49
UT,49000,3096848,50_64,0.1418,439133.04640000005,unvaccinated,AllFlu,age50to64
UT,49000,3096848,5_17,0.2132,660247.9936,unvaccinated,AllFlu,age5to17
UT,49000,3096848,65_100,0.1141,353350.35679999995,unvaccinated,AllFlu,age65to100
VA,51000,8454463,0_4,0.0592,500504.2096,unvaccinated,AllFlu,age0to4
VA,51000,8454463,18_49,0.4275,3614282.9325,unvaccinated,AllFlu,age18to49
VA,51000,8454463,50_64,0.1953,1651156.6239,unvaccinated,AllFlu,age50to64
VA,51000,8454463,5_17,0.1588,1342568.7244,unvaccinated,AllFlu,age5to17
VA,51000,8454463,65_100,0.1592,1345950.5096,unvaccinated,AllFlu,age65to100
VT,50000,624313,0_4,0.0465,29030.5545,unvaccinated,AllFlu,age0to4
VT,50000,624313,18_49,0.3988,248976.0244,unvaccinated,AllFlu,age18to49
VT,50000,624313,50_64,0.2181,136162.6653,unvaccinated,AllFlu,age50to64
VT,50000,624313,5_17,0.1362,85031.43059999999,unvaccinated,AllFlu,age5to17
VT,50000,624313,65_100,0.2004,125112.32519999999,unvaccinated,AllFlu,age65to100
WA,53000,7404107,0_4,0.0599,443506.00930000003,unvaccinated,AllFlu,age0to4
WA,53000,7404107,18_49,0.4368,3234113.9376000003,unvaccinated,AllFlu,age18to49
WA,53000,7404107,50_64,0.1859,1376423.4913,unvaccinated,AllFlu,age50to64
WA,53000,7404107,5_17,0.1585,1173550.9595,unvaccinated,AllFlu,age5to17
WA,53000,7404107,65_100,0.1589,1176512.6023000001,unvaccinated,AllFlu,age65to100
WI,55000,5790716,0_4,0.05679432056794321,328879.7808219178,unvaccinated,AllFlu,age0to4
WI,55000,5790716,18_49,0.40245975402459755,2330530.1369863013,unvaccinated,AllFlu,age18to49
WI,55000,5790716,50_64,0.20527947205279473,1188715.1232876712,unvaccinated,AllFlu,age50to64
WI,55000,5790716,5_17,0.16078392160783922,931054.0273972603,unvaccinated,AllFlu,age5to17
WI,55000,5790716,65_100,0.17468253174682533,1011536.9315068494,unvaccinated,AllFlu,age65to100
WV,54000,1817305,0_4,0.0519,94318.12950000001,unvaccinated,AllFlu,age0to4
WV,54000,1817305,18_49,0.3882,705477.801,unvaccinated,AllFlu,age18to49
WV,54000,1817305,50_64,0.2064,375091.752,unvaccinated,AllFlu,age50to64
WV,54000,1817305,5_17,0.1487,270233.2535,unvaccinated,AllFlu,age5to17
WV,54000,1817305,65_100,0.2048,372184.064,unvaccinated,AllFlu,age65to100
WY,56000,581024,0_4,0.0604,35093.8496,unvaccinated,AllFlu,age0to4
WY,56000,581024,18_49,0.4072,236592.97280000002,unvaccinated,AllFlu,age18to49
WY,56000,581024,50_64,0.1903,110568.8672,unvaccinated,AllFlu,age50to64
WY,56000,581024,5_17,0.1707,99180.7968,unvaccinated,AllFlu,age5to17
WY,56000,581024,65_100,0.1714,99587.51359999999,unvaccinated,AllFlu,age65to100
